,cell_type,n_cells,PD-1,PD-1_pct,PD-L1,PD-L1_pct,PD-L2,PD-L2_pct,CTLA-4,CTLA-4_pct,LAG-3,LAG-3_pct,TIM-3,TIM-3_pct,TIGIT,TIGIT_pct,VISTA,VISTA_pct,IDO1,IDO1_pct,B7-H3,B7-H3_pct
0,T cell,742,0.5181,29.38,0.0508,3.77,0.0111,0.94,0.5488,31.0,0.4186,24.26,0.1113,7.41,0.6965,38.54,0.4935,31.0,0.0028,0.27,0.0,0.0
1,Myeloid/Macro,493,0.0574,8.92,0.0653,11.76,0.055,11.16,0.054,7.91,0.0627,9.74,0.5873,66.53,0.0559,8.52,0.6242,62.68,0.0734,5.88,0.1245,21.91
2,B cell,317,0.0654,5.36,0.0298,3.15,0.0065,0.63,0.0272,1.89,0.0,0.0,0.011,1.26,0.0487,3.79,0.3856,28.71,0.008,0.63,0.0,0.0
3,Tumor epithelial,204,0.0161,2.45,0.0703,13.24,0.0031,1.47,0.0064,1.47,0.0386,2.94,0.0063,1.47,0.0146,0.98,0.123,16.67,0.5127,39.71,0.1864,25.49
4,NK cell,242,0.3945,22.73,0.0234,1.65,0.0054,0.41,0.2624,14.88,0.5421,29.34,0.3074,16.94,0.533,30.58,0.442,26.45,0.0,0.0,0.0,0.0
5,Plasma cell,98,0.1493,11.22,0.0414,6.12,0.0165,3.06,0.1378,9.18,0.1643,17.35,0.0287,4.08,0.254,17.35,0.3309,35.71,0.0,0.0,0.0026,1.02
6,Endothelial,43,0.066,4.65,0.1186,9.3,0.0,0.0,0.162,11.63,0.0491,4.65,0.0452,2.33,0.1987,11.63,0.7623,55.81,0.2344,9.3,0.178,13.95
7,Mast cell,93,0.056,3.23,0.2372,17.2,0.0389,3.23,0.0349,2.15,0.0424,2.15,0.3122,21.51,0.0572,3.23,0.5834,39.78,0.0058,1.08,0.1489,13.98
8,Unknown,100,0.2837,15.0,0.0,0.0,0.0,0.0,0.3045,18.0,0.1827,9.0,0.0718,3.0,0.3608,18.0,0.3716,21.0,0.051,2.0,0.0181,1.0
9,Dendritic cell,19,0.0858,10.53,0.031,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0733,10.53,0.0,0.0,0.3498,26.32,0.0646,5.26,0.0,0.0
10,Fibroblast,26,0.0781,3.85,0.0118,3.85,0.0,0.0,0.021,3.85,0.038,7.69,0.024,7.69,0.092,3.85,0.4154,38.46,0.0,0.0,0.2327,30.77
